Site,DC,Pod,normal,zone
MCD_22468,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_22600,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_23381,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_23730,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_24248,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_24527,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_24711,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_25641,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_25781,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_25802,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_26625,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_26641,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_26796,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_27302,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_28181,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_28436,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_28453,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_28578,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_28921,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_29261,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_29295,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_29543,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_29679,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_29955,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_30024,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_30367,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_31244,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_31550,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_31823,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_31848,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_31988,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_32008,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_32061,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_32325,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_32344,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_32494,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_32523,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_32529,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_32574,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_32581,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_32783,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_32870,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_33276,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_33298,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_33487,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_33746,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_33793,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_33841,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_33853,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_33889,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_33950,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_33951,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34014,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34153,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34319,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34321,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34764,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34815,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34816,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34831,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34838,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34862,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34864,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34867,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34868,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34897,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34921,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34923,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34934,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34940,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34953,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34960,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34961,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34967,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34986,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_34996,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_35032,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_35203,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_35214,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_35220,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_35240,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_35243,SNA,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10710,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_10742,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_10872,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_10874,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_10878,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_10882,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_11125,SNA,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_11291,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_11304,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_11342,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_11358,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_11365,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_11412,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_11450,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_11454,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_11603,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_11630,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_11714,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_11734,SNA,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_11813,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_11817,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_11879,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_11917,SNA,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_11943,SNA,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_11971,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_12073,SNA,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_12075,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_12097,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_12113,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_12128,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_12129,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_12180,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_12188,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_12203,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_12229,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_12258,SNA,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_12401,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_12452,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_12515,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_12722,SNA,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_13300,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_13354,SNA,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_13872,SNA,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_14328,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_14530,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_15497,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_15822,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_15973,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_16045,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_16827,SNA,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_17047,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_17232,DAL,10,True,(GMT-06:00) Central Time (US & Canada)
MCD_03334,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_03498,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_03514,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_03568,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_03631,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_03684,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_03745,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_03865,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_03907,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04032,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04037,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04071,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04092,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04126,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04163,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04179,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04226,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04264,SNA,10,False,(GMT-07:00) Mountain Time (US & Canada)
MCD_04289,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04319,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04404,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04456,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04553,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04644,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04654,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04662,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04690,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04703,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04738,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04741,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04754,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04787,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04951,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04952,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_04979,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_05065,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_05067,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_05138,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_05231,SNA,10,True,(GMT-07:00) Mountain Time (US & Canada)
MCD_00874,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00876,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00939,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00953,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00969,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00970,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00973,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00974,DAL,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01008,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01010,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01014,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01022,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01023,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01027,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01051,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01063,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01076,DAL,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01090,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01103,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01111,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01120,DAL,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01121,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01126,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01162,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01171,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01200,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01205,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01215,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01228,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01233,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01296,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01304,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01308,DAL,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01313,SNA,10,False,(GMT-08:00) Pacific Time (US & Canada)
MCD_01325,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01337,DAL,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01353,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01355,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01380,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01405,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01411,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01426,DAL,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01432,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)